,Course Code,INSTITUTION and COURSE,pointsR1,pointsR2,Round_1_Points,Round_2_Points
0,AL801,Software Design for Virtual Reality and Gaming,300,,300,
1,AL802,Software Design in Artificial Intelligence for Clo,313,,313,
2,AL803,Software Design for Mobile Apps and Connected Devi,350,,350,
3,AL805,Computer Engineering for Network Infrastructure,321,,321,
4,AL810,Quantity Surveying,328,,328,
5,AL811,Civil Engineering,,,,
6,AL820,Mechanical and Polymer Engineering,327,,327,
7,AL830,General Nursing,451*,444,451,444
8,AL832,Mental Health Nursing,440*,431,440,431
9,AL835,Pharmacology,356,,356,
10,AL836,Nutrition and Health Science,346,,346,
11,AL837,Sports Science with Exercise Physiology,357,,357,
12,AL838,Biotechnology,324,,324,
13,AL839,Microbiology,325,,325,
14,AL840,Pharmaceutical Sciences,346,,346,
15,AL841,Athletic and Rehabilitation Therapy,477,476*,477,476
16,AL842,Bioveterinary Science,338,,338,
17,AL843,Physical Activity and Health Science,306,,306,
18,AL849,Culinary Entrepreneurship,297,,297,
19,AL850,Business,309,,309,
20,AL851,Business and Law,302,,302,
21,AL852,Accounting,336,,336,
22,AL854,Sport Management (with international placement),300,299,300,299
23,AL855,Hospitality Management (with international placeme,309,,309,
24,AL857,Digital Marketing,304,,304,
25,AL859,International Business,308,,308,
26,AL860,Social Care Practice,301,,301,
27,AL861,Animation and Illustration (portfolio),#575,,575,
28,AL863,Graphic and Digital Design (portfolio),#747,,747,
29,AL864,Early Years Care and Education,306,,306,
30,AL870,Applied Psychology,484*,467*,484,467
31,CW018,Business (options),307,,307,
32,CW028,Early Childhood Education and Care,260,,260,
33,CW038,Art (portfolio),#700,,700,
34,CW058,Tourism and Event Management,292,,292,
35,CW068,Applied Social Studies in Professional Social Care,250,,250,
36,CW078,Sustainable Farm Management and Agribusiness,270,,270,
37,CW088,Visual Communications and Design,270,,270,
38,CW108,Science (options),266,,266,
39,CW128,Brewing and Distilling,307,,307,
40,CW138,Sport and Exercise Science,430,423,430,423
41,CW148,Strength and Conditioning,388,,388,
42,CW188,Sport Rehabilitation and Athletic Therapy,451,,451,
43,CW208,Computer Games Development,272,,272,
44,CW238,Software Development,295,,295,
45,CW248,Information Technology Management,293,,293,
46,CW258,Cybercrime and IT Security,292,,292,
47,CW268,Computing in Interactive Digital Art and Design,291,,291,
48,CW438,Construction (options),260,251,260,251
49,CW468,Architectural Technology,291,283,291,283
50,CW478,Civil Engineering,465,,465,
51,CW548,Mechanical Engineering,330,328,330,328
52,CW558,Electronic Systems,280,,280,
53,CW568,Aerospace Engineering,371,359,371,359
54,CW578,TV and Media Production,318,,318,
55,CW708,Law - LLB,292,,292,
56,CW728,Product Design Innovation,246,,246,
57,CW748,Early Childhood Education and Care,290,,290,
58,CW758,Professional Social Care Practice,360,358,360,358
59,CW808,Media and Public Relations,247,,247,
60,CW848,Digital Marketing with Analytics,269,,269,
61,CW858,Sports Management and Coaching (options  portfolio,#700,,700,
62,CW908,Business (options),272,,272,
63,CW938,Business with Law,270,,270,
64,CW948,Accounting,319,,319,
65,PC405,Social  Political and Community Studies,263,235,263,235
66,PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,262,230
67,PC411,English and History (fulfils Teaching Council requ,243,224,243,224
68,CR105,Chemical and Biopharmaceutical Engineering,443,,443,
69,CR106,Software Development,431,,431,
70,CR108,Mechanical Engineering,434,,434,
71,CR109,Structural Engineering,396,,396,
72,CR110,Automotive Business Management and Technology,336,,336,
